"VNUM","Sub-feature","small crater?","NB","W*_T from","d [km]","h [km]","H [km]","W* [km]","C [dimless]","ave. ei [dimless]","T [dimless]","sv"
211003,0,,,0,17.700,0.325,0.350,26.850,0.590,,0.330,
211004,0,,,0,10.500,0.204,0.650,20.250,0.650,,0.259,
211004,1,,,0,3.750,0.367,0.167,4.375,0.500,,0.429,
211004,1,,,0,2.950,0.265,0.070,2.475,0.410,,0.596,
211020,0,1,4,1,0.500,0.265,1.110,4.375,0.670,1.220,0.333,7
211030,0,0,4,1,,,0.750,3.875,,2.100,0.106,7
211040,0,0,4,1,0.350,0.075,0.890,1.900,0.370,1.520,0.193,2
211041,0,0,4,1,,,0.400,1.085,,1.880,0.179,0
211042,0,0,4,1,,,0.580,3.605,,1.770,0.341,10
211050,1,0,4,1,,,0.480,2.530,,2.070,0.762,6
211050,0,,,0,2.675,0.100,1.750,12.338,0.660,,0.108,
211050,0,,1,0,3.600,0.175,1.525,12.300,0.600,,0.146,
211060,0,0,1,1,0.500,0.100,3.080,12.050,0.690,1.620,0.029,16
211071,0,0,4,1,,,0.820,5.150,0.640,1.880,0.438,9
212030,0,0,4,1,,,0.730,4.490,,2.330,0.193,14
212040,0,,,0,10.500,0.600,0.700,15.250,0.320,,0.344,
212050,0,0,4,1,3.740,0.290,0.680,3.600,0.760,1.530,0.519,0
213002,0,0,4,1,,,2.110,6.850,,2.150,0.308,10
213010,0,0,4,1,,,2.430,8.950,,2.080,0.021,44
213011,0,0,1,1,,,0.950,14.700,,2.510,0.210,27
213020,0,0,4,1,7.740,0.530,1.470,6.950,0.530,,0.558,5
213030,0,0,4,1,1.160,0.270,1.220,8.000,,1.760,0.122,4
213040,0,0,4,1,,,3.430,10.050,,1.650,0.105,14
214010,0,0,4,1,,,2.050,4.150,,1.690,0.219,4
214020,0,0,1,1,,,4.030,13.500,,3.870,0.273,54
214060,0,0,4,1,,,2.460,15.800,,2.350,0.070,21
221010,0,0,4,1,,,0.220,1.320,,1.310,0.616,0
221020,1,0,4,1,,,0.180,2.105,,3.440,0.481,6
221021,0,0,4,1,,,0.600,5.650,,2.090,0.152,21
221022,0,0,4,1,,,0.390,4.745,,3.920,0.327,22
221030,0,0,1,1,,,0.710,4.790,,2.920,0.280,19
221040,0,0,4,1,2.300,0.100,0.780,2.850,0.450,1.770,0.700,8
221050,0,1,4,1,,,0.360,1.585,,1.410,0.347,0
221071,0,0,4,1,,,0.580,3.440,,1.580,0.051,6
221080,0,1,1,1,1.150,0.050,0.380,4.950,0.190,2.030,0.125,3
221090,0,1,4,1,0.600,0.100,0.920,3.645,0.330,1.260,0.203,0
221091,0,0,1,1,,,0.320,2.530,,1.450,0.425,3
221100,0,0,4,1,,,0.780,2.100,,1.860,0.396,0
221101,0,0,4,1,6.940,0.340,1.520,8.100,0.530,,0.428,14
221102,0,0,4,1,5.490,0.380,0.720,4.345,0.650,,0.632,2
221103,0,0,4,1,1.160,0.130,0.930,2.410,0.640,1.150,0.240,0
221104,0,0,4,1,,,1.220,7.700,,1.820,0.213,13
221105,0,0,1,1,3.020,0.360,0.410,3.930,0.620,,0.383,0
221107,0,1,4,1,,,0.840,2.505,,1.340,0.226,0
221110,0,0,4,1,,,1.110,4.765,,1.720,0.333,2
221111,0,0,4,1,2.380,0.230,1.180,5.700,0.490,1.450,0.477,5
221112,0,1,4,1,,,1.110,9.300,,1.650,0.208,6
221113,0,0,4,1,,,0.990,7.450,,1.590,0.240,10
221115,0,0,1,1,,,0.120,1.925,,1.350,0.362,0
221120,0,0,1,1,,,0.220,3.520,,1.220,0.164,0
221123,0,0,4,1,,,1.530,6.450,,2.370,0.336,15
221141,0,0,4,1,2.060,0.250,0.640,5.800,0.690,1.270,0.380,7
221150,0,0,4,1,,,0.870,3.505,,1.770,0.078,5
221151,0,0,4,1,,,0.840,3.980,,2.140,0.300,5
221160,0,0,4,1,,,1.490,3.965,,1.360,0.068,2
221170,0,0,4,1,3.740,0.470,0.730,4.665,0.520,1.570,0.401,2
221180,0,0,4,1,,,0.390,3.530,,1.920,0.341,16
221190,0,0,4,1,3.480,0.310,1.000,5.650,0.370,1.750,0.308,0
221200,0,,,0,6.200,0.190,0.315,10.750,0.470,,0.288,
221210,1,0,4,1,,,0.620,1.665,,1.680,0.094,0
221210,1,0,4,1,,,0.840,3.710,,1.640,0.185,0
221230,0,,1,0,8.500,0.160,0.280,9.250,0.460,,0.459,
221240,1,,,0,1.550,0.125,0.350,3.000,0.550,,0.258,
221270,0,0,4,1,,,0.690,5.800,,3.130,0.297,17
221280,0,,1,0,17.500,0.400,0.150,17.750,0.490,,0.493,
221290,0,,1,0,15.000,0.210,0.260,17.500,0.450,,0.429,
222020,0,0,4,1,,,0.410,3.445,,2.730,0.141,12
222021,0,0,1,1,,,1.080,22.200,,2.600,0.028,107
222030,0,0,1,0,3.220,0.125,0.600,9.110,0.620,1.830,0.177,24
222040,0,0,4,1,,,0.470,2.525,,1.700,0.356,4
222051,0,0,1,1,4.100,0.075,0.840,7.600,0.580,1.910,0.345,16
222052,0,0,1,1,6.170,0.340,0.700,7.800,0.420,1.480,0.396,8
222053,0,0,4,1,1.620,0.090,0.620,4.015,,1.980,0.201,3
222054,0,0,4,1,,,0.470,3.965,,2.050,0.544,14
222055,0,0,4,1,,,0.130,1.160,,1.960,0.471,2
222056,0,0,1,1,,,1.050,6.750,,2.090,0.146,29
222060,0,,1,0,10.000,0.150,0.200,12.500,0.410,,0.400,
222070,0,0,1,1,,,0.550,3.310,,1.680,0.240,4
222080,0,0,1,1,,,0.790,4.305,,2.040,0.117,11
222100,0,0,4,1,1.830,0.180,0.760,3.630,0.510,1.480,0.251,0
