"Volcano Number","Volcano Name","Eruption Number","Eruption Category","Area of Activity","VEI","VEI Modifier","Start Year Modifier","Start Year","Start Year Uncertainty","Start Month","Start Day Modifier","Start Day","Start Day Uncertainty","Evidence Method (dating)","End Year Modifier","End Year","End Year Uncertainty","End Month","End Day Modifier","End Day","End Day Uncertainty","Latitude","Longitude"
211001,,10013,1,,3,1,,1282,,,,,,,,,,,,,,43.25,10.87
211010,,10040,1,,1,-9999,,1198,,,,,,,,,,,,,,40.827,14.139
211010,,10034,1,,2,-9999,,-2080,,,,,,,,,,,,,,40.827,14.139
211010,,10041,1,,3,-9999,,1538,,,,,,,,,,,,,,40.827,14.139
211010,,10035,1,,3,-9999,,-2040,,,,,,,,,,,,,,40.827,14.139
211010,,10028,1,,3,-9999,,-2330,,,,,,,,,,,,,,40.827,14.139
211010,,10019,1,,3,-9999,,-7980,,,,,,,,,,,,,,40.827,14.139
211010,,10022,1,,3,1,,-6490,,,,,,,,,,,,,,40.827,14.139
211010,,10038,1,,4,-9999,,-1650,,,,,,,,,,,,,,40.827,14.139
211010,,10037,1,,4,-9999,,-1870,,,,,,,,,,,,,,40.827,14.139
211010,,10036,1,,4,-9999,,-2000,,,,,,,,,,,,,,40.827,14.139
211010,,10026,1,,4,-9999,,-2500,,,,,,,,,,,,,,40.827,14.139
211010,,10021,1,,4,-9999,,-6650,,,,,,,,,,,,,,40.827,14.139
211010,,10018,1,,4,-9999,,-8480,,,,,,,,,,,,,,40.827,14.139
211010,,10033,1,,5,-9999,,-2150,,,,,,,,,,,,,,40.827,14.139
211020,,13317,1,,0,1,,900,,,,,,,,,,,,,,40.821,14.426
211020,,13316,1,,0,1,,860,,,,,,,,,,,,,,40.821,14.426
211020,,13359,3,,1,-9999,,1874,,,,,,,,,,,,,,40.821,14.426
211020,,13343,1,,1,-9999,,1742,,,,,,,,,,,,,,40.821,14.426
211020,,13323,3,,1,-9999,,1049,,,,,,,,,,,,,,40.821,14.426
211020,,13330,1,,1,1,,1570,,,,,,,,,,,,,,40.821,14.426
211020,,13357,1,,2,-9999,,1864,,,,,,,,,,,,,,40.821,14.426
211020,,13353,1,,2,-9999,,1841,,,,,,,,,,,,,,40.821,14.426
211020,,13337,1,,2,-9999,,1696,,,,,,,,,,,,,,40.821,14.426
211020,,13333,1,,2,-9999,,1637,,,,,,,,,,,,,,40.821,14.426
211020,,10055,1,,2,-9999,,379,,,,,,,,,,,,,,40.821,14.426
211020,,10053,1,,2,-9999,,222,,,,,,,,,,,,,,40.821,14.426
211020,,13329,1,,2,1,,1500,,,,,,,,,,,,,,40.821,14.426
211020,,13328,3,,2,1,,1347,,,,,,,,,,,,,,40.821,14.426
211020,,13327,3,,2,1,,1270,,,,,,,,,,,,,,40.821,14.426
211020,,13309,3,,2,1,,505,,,,,,,,,,,,,,40.821,14.426
211020,,10054,3,,2,1,,303,,,,,,,,,,,,,,40.821,14.426
211020,,13361,1,,3,-9999,,1913,,,,,,,,,,,,,,40.821,14.426
211020,,13358,1,,3,-9999,,1870,,,,,,,,,,,,,,40.821,14.426
211020,,13355,1,,3,-9999,,1855,,,,,,,,,,,,,,40.821,14.426
211020,,13354,1,,3,-9999,,1854,,,,,,,,,,,,,,40.821,14.426
211020,,13352,1,,3,-9999,,1835,,,,,,,,,,,,,,40.821,14.426
211020,,13351,1,,3,-9999,,1824,,,,,,,,,,,,,,40.821,14.426
211020,,13345,1,,3,-9999,,1764,,,,,,,,,,,,,,40.821,14.426
211020,,13344,1,,3,-9999,,1744,,,,,,,,,,,,,,40.821,14.426
211020,,13341,1,,3,-9999,,1724,,,,,,,,,,,,,,40.821,14.426
211020,,13340,1,,3,-9999,,1708,,,,,,,,,,,,,,40.821,14.426
211020,,13339,1,,3,-9999,,1701,,,,,,,,,,,,,,40.821,14.426
211020,,13338,1,,3,-9999,,1697,,,,,,,,,,,,,,40.821,14.426
211020,,13336,1,,3,-9999,,1685,,,,,,,,,,,,,,40.821,14.426
211020,,13335,1,,3,-9999,,1682,,,,,,,,,,,,,,40.821,14.426
211020,,13334,1,,3,-9999,,1654,,,,,,,,,,,,,,40.821,14.426
211020,,13325,1,,3,-9999,,1139,,,,,,,,,,,,,,40.821,14.426
211020,,13324,3,,3,-9999,,1073,,,,,,,,,,,,,,40.821,14.426
211020,,13322,1,,3,-9999,,1037,,,,,,,,,,,,,,40.821,14.426
211020,,13321,1,,3,-9999,,1006,,,,,,,,,,,,,,40.821,14.426
211020,,13320,1,,3,-9999,,999,,,,,,,,,,,,,,40.821,14.426
211020,,13319,1,,3,-9999,,991,,,,,,,,,,,,,,40.821,14.426
211020,,13315,1,,3,-9999,,787,,,,,,,,,,,,,,40.821,14.426
211020,,10048,1,,3,-9999,,-600,,,,,,,,,,,,,,40.821,14.426
211020,,13350,1,,3,1,,1796,,,,,,,,,,,,,,40.821,14.426
211020,,13349,1,,3,1,,1783,,,,,,,,,,,,,,40.821,14.426
211020,,13346,1,,3,1,,1770,,,,,,,,,,,,,,40.821,14.426
211020,,13342,1,,3,1,,1732,,,,,,,,,,,,,,40.821,14.426
211020,,13326,1,,3,1,,1150,,,,,,,,,,,,,,40.821,14.426
211020,,10051,1,,3,1,,172,,,,,,,,,,,,,,40.821,14.426
211020,,10049,1,,3,1,,-217,,,,,,,,,,,,,,40.821,14.426
211020,,13318,1,,4,-9999,,968,,,,,,,,,,,,,,40.821,14.426
211020,,13314,1,,4,-9999,,685,,,,,,,,,,,,,,40.821,14.426
211020,,10047,1,,4,-9999,,-880,,,,,,,,,,,,,,40.821,14.426
211020,,10046,1,,4,-9999,,-1430,,,,,,,,,,,,,,40.821,14.426
211020,,10045,1,,4,-9999,,-1550,,,,,,,,,,,,,,40.821,14.426
211020,,13360,1,,4,1,,1875,,,,,,,,,,,,,,40.821,14.426
211020,,13310,1,,4,1,,512,,,,,,,,,,,,,,40.821,14.426
211020,,10052,1,,4,5,,203,,,,,,,,,,,,,,40.821,14.426
211020,,13308,1,,5,-9999,,472,,,,,,,,,,,,,,40.821,14.426
211020,,10043,1,,5,-9999,,-2420,,,,,,,,,,,,,,40.821,14.426
211020,,10042,1,,5,-9999,,-6940,,,,,,,,,,,,,,40.821,14.426
211020,,13332,1,,5,1,,1631,,,,,,,,,,,,,,40.821,14.426
211020,,10050,1,,5,1,,79,,,,,,,,,,,,,,40.821,14.426
211030,,13381,1,,3,-9999,,40,,,,,,,,,,,,,,40.73,13.897
211040,,13411,1,,0,-9999,,-4550,,,,,,,,,,,,,,38.789,15.213
211040,,13409,1,,0,-9999,,-5050,,,,,,,,,,,,,,38.789,15.213
211040,,13408,1,,0,-9999,,-5550,,,,,,,,,,,,,,38.789,15.213
211040,,13407,1,,0,-9999,,-5800,,,,,,,,,,,,,,38.789,15.213
211040,,13406,1,,0,-9999,,-6050,,,,,,,,,,,,,,38.789,15.213
211040,,13435,1,,2,-9999,,1934,,,,,,,,,,,,,,38.789,15.213
211040,,13431,1,,2,-9999,,1932,,,,,,,,,,,,,,38.789,15.213
211040,,13424,1,,2,-9999,,950,,,,,,,,,,,,,,38.789,15.213
211040,,13420,1,,2,-9999,,250,,,,,,,,,,,,,,38.789,15.213
211040,,13419,1,,2,-9999,,150,,,,,,,,,,,,,,38.789,15.213
211040,,13418,1,,2,-9999,,50,,,,,,,,,,,,,,38.789,15.213
211040,,13417,1,,2,-9999,,-50,,,,,,,,,,,,,,38.789,15.213
211040,,13416,1,,2,-9999,,-210,,,,,,,,,,,,,,38.789,15.213
211040,,13415,1,,2,-9999,,-350,,,,,,,,,,,,,,38.789,15.213
211040,,13413,1,,2,1,,-4250,,,,,,,,,,,,,,38.789,15.213
211040,,13410,1,,2,1,,-4800,,,,,,,,,,,,,,38.789,15.213
211040,,13430,1,,3,-9999,,1910,,,,,,,,,,,,,,38.789,15.213
211040,,13429,1,,3,-9999,,1890,,,,,,,,,,,,,,38.789,15.213
211040,,13426,1,,3,-9999,,1857,,,,,,,,,,,,,,38.789,15.213
211040,,13425,1,,3,-9999,,1558,,,,,,,,,,,,,,38.789,15.213
211040,,13423,1,,3,-9999,,550,,,,,,,,,,,,,,38.789,15.213
211040,,13414,1,,3,1,,-4050,,,,,,,,,,,,,,38.789,15.213
211050,,13482,3,,0,-9999,,1892,,,,,,,,,,,,,,38.404,14.962
211050,,13465,1,,0,-9999,,1230,,,,,,,,,,,,,,38.404,14.962
211050,,13441,1,,0,-9999,,-950,,,,,,,,,,,,,,38.404,14.962
211050,,13438,1,,0,-9999,,-3550,,,,,,,,,,,,,,38.404,14.962
211050,,13478,3,,1,1,,1831,,,,,,,,,,,,,,38.404,14.962
211050,,13476,3,,1,1,,1812,,,,,,,,,,,,,,38.404,14.962
211050,,13474,1,,2,-9999,,1780,,,,,,,,,,,,,,38.404,14.962
211050,,13444,1,,2,-9999,,-300,,,,,,,,,,,,,,38.404,14.962
211050,,13443,1,,2,-9999,,-360,,,,,,,,,,,,,,38.404,14.962
211050,,13477,3,,2,1,,1822,,,,,,,,,,,,,,38.404,14.962
