"Volcano Number","Volcano Name","Eruption Number","Eruption Start Year","Event Number","event#","group#"
210010,,10001,-8740,135031,9,2
210010,,10002,-8300,135034,9,2
210010,,10001,-8740,135032,21,2
210010,,10002,-8300,135035,21,2
210020,,10007,-6250,135049,1,2
210020,,10011,-4040,100005,5,1
210020,,10004,-7740,135041,5,1
210020,,10007,-6250,135055,5,1
210020,,10009,-6020,135060,5,1
210020,,10011,-4040,100001,9,2
210020,,10003,-7840,135036,9,2
210020,,10004,-7740,135039,9,2
210020,,10005,-7020,135042,9,2
210020,,10006,-6550,135044,9,2
210020,,10007,-6250,135048,9,2
210020,,10009,-6020,135058,9,2
210020,,10010,-5760,135061,9,2
210020,,10007,-6250,135050,13,2
210020,,10011,-4040,100004,14,1
210020,,10004,-7740,135040,14,1
210020,,10007,-6250,135053,14,1
210020,,10009,-6020,135059,14,1
210020,,10007,-6250,135052,16,3
210020,,10011,-4040,100006,18,2
210020,,10011,-4040,100003,19,6
210020,,10006,-6550,135046,19,6
210020,,10007,-6250,135051,19,6
210020,,10011,-4040,100002,20,1
210020,,10003,-7840,135037,21,2
210020,,10005,-7020,135043,21,2
210020,,10006,-6550,135045,21,2
210020,,10010,-5760,135062,21,2
210040,,10012,-3600,100008,9,2
210040,,10012,-3600,100009,19,6
211001,,10013,1282,100012,1,2
211001,,10013,1282,100017,2,2
211001,,10013,1282,100013,16,3
211004,,10015,-600,100021,16,3
211010,,10019,-7980,100031,1,2
211010,,10025,-2580,100037,1,2
211010,,10026,-2500,100042,1,2
211010,,10027,-2440,100047,1,2
211010,,10028,-2330,100053,1,2
211010,,10029,-2220,100058,1,2
211010,,10037,-1870,100069,1,2
211010,,10038,-1650,100078,1,2
211010,,10041,1538,100090,1,2
211010,,10020,-7590,135066,1,2
211010,,10021,-6650,135072,1,2
211010,,10022,-6490,135079,1,2
211010,,10023,-6300,135087,1,2
211010,,10024,-2890,135094,1,2
211010,,10033,-2150,135106,1,2
211010,,10036,-2000,135121,1,2
211010,,10040,1198,100087,2,2
211010,,10022,-6490,135083,2,2
211010,,10023,-6300,135091,2,2
211010,,10033,-2150,135112,2,2
211010,,10036,-2000,135126,2,2
211010,,10022,-6490,135081,3,2
211010,,10041,1538,100100,5,1
211010,,10018,-8480,100025,9,2
211010,,10019,-7980,100030,9,2
211010,,10025,-2580,100036,9,2
211010,,10026,-2500,100041,9,2
211010,,10027,-2440,100046,9,2
211010,,10028,-2330,100052,9,2
211010,,10029,-2220,100057,9,2
211010,,10038,-1650,100077,9,2
211010,,10041,1538,100089,9,2
211010,,10020,-7590,135065,9,2
211010,,10021,-6650,135071,9,2
211010,,10022,-6490,135078,9,2
211010,,10023,-6300,135086,9,2
211010,,10024,-2890,135093,9,2
211010,,10033,-2150,135105,9,2
211010,,10034,-2080,135114,9,2
211010,,10035,-2040,135118,9,2
211010,,10036,-2000,135120,9,2
211010,,10037,-1870,135128,9,2
211010,,10019,-7980,100032,13,2
211010,,10025,-2580,100038,13,2
211010,,10027,-2440,100048,13,2
211010,,10028,-2330,100054,13,2
211010,,10029,-2220,100059,13,2
211010,,10020,-7590,135067,13,2
211010,,10021,-6650,135073,13,2
211010,,10022,-6490,135080,13,2
211010,,10023,-6300,135088,13,2
211010,,10024,-2890,135095,13,2
211010,,10033,-2150,135107,13,2
211010,,10037,-1870,100072,14,1
211010,,10038,-1650,100080,14,1
211010,,10041,1538,100094,14,1
211010,,10033,-2150,135109,14,1
211010,,10034,-2080,135115,14,1
211010,,10036,-2000,135123,14,1
211010,,10041,1538,100099,15,1
211010,,10040,1198,100084,16,3
211010,,10041,1538,100093,16,3
211010,,10037,-1870,100075,17,3
211010,,10033,-2150,135111,17,3
211010,,10018,-8480,100027,18,2
211010,,10019,-7980,100034,18,2
211010,,10026,-2500,100044,18,2
211010,,10027,-2440,100050,18,2
211010,,10029,-2220,100061,18,2
211010,,10037,-1870,100074,18,2
211010,,10021,-6650,135075,18,2
211010,,10022,-6490,135082,18,2
211010,,10023,-6300,135090,18,2
211010,,10033,-2150,135110,18,2
211010,,10036,-2000,135125,18,2
211010,,10041,1538,135129,18,2
211010,,10018,-8480,100026,19,6
211010,,10019,-7980,100033,19,6
211010,,10025,-2580,100039,19,6
211010,,10026,-2500,100043,19,6
211010,,10027,-2440,100049,19,6
211010,,10028,-2330,100055,19,6
211010,,10029,-2220,100060,19,6
211010,,10037,-1870,100071,19,6
211010,,10038,-1650,100079,19,6
211010,,10041,1538,100092,19,6
211010,,10020,-7590,135068,19,6
211010,,10021,-6650,135074,19,6
211010,,10023,-6300,135089,19,6
211010,,10033,-2150,135108,19,6
211010,,10036,-2000,135122,19,6
211010,,10037,-1870,100070,20,1
211010,,10041,1538,100091,20,1
211020,,10047,-880,100108,1,2
211020,,10049,-217,100119,1,2
211020,,10050,79,100126,1,2
211020,,13311,536,100438,1,2
211020,,13314,685,100447,1,2
211020,,13329,1500,100478,1,2
211020,,13330,1570,100481,1,2
211020,,13332,1631,100489,1,2
211020,,13338,1697,100508,1,2
211020,,13339,1701,100517,1,2
211020,,13340,1708,100528,1,2
211020,,13346,1770,100544,1,2
211020,,13349,1783,100564,1,2
211020,,13353,1841,100574,1,2
211020,,13355,1855,100587,1,2
211020,,13308,472,119645,1,2
211020,,13310,512,119658,1,2
211020,,13319,991,119670,1,2
211020,,13320,999,119675,1,2
211020,,13325,1139,119696,1,2
211020,,13333,1637,119699,1,2
211020,,13334,1654,119705,1,2
211020,,13335,1682,119713,1,2
211020,,13336,1685,119723,1,2
211020,,13341,1724,119731,1,2
211020,,13342,1732,119740,1,2
211020,,13345,1764,119764,1,2
211020,,13350,1796,119773,1,2
211020,,13351,1824,119788,1,2
211020,,13352,1835,119797,1,2
211020,,13357,1864,119800,1,2
