"Volcano Number","Volcano Name","Country","Primary Volcano Type","Activity Evidence","Last Known Eruption","Region","Subregion","Latitude","Longitude","Elevation (m)","Dominant Rock Type","Tectonic Setting","Major Rock 1","Major Rock 2","Major Rock 3","Major Rock 4","Major Rock 5","Minor Rock 1","Minor Rock 2","Minor Rock 3","Minor Rock 4","Minor Rock 5"
210010,,41,32,1,-8300,12,107,50.17,6.85,600,4,4,4,-9999,-9999,-9999,-9999,6,10,-9999,-9999,-9999
210020,,39,14,1,-4040,12,107,45.775,2.97,1464,2,4,2,10,-9999,-9999,-9999,11,9,-9999,-9999,-9999
210030,,80,32,3,,12,107,42.17,2.53,893,10,1,2,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
210040,,80,32,1,-3600,12,107,38.87,-4.02,1117,2,1,2,4,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999
211001,,51,8,2,1282,12,49,43.25,10.87,500,5,7,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
211003,,51,1,2,-104,12,49,42.6,11.93,800,11,7,4,6,11,10,7,-9999,-9999,-9999,-9999,-9999
211004,,51,1,4,,12,49,41.73,12.7,949,4,7,4,7,-9999,-9999,-9999,10,-9999,-9999,-9999,-9999
211010,,51,1,2,1538,12,49,40.827,14.139,458,11,7,6,11,9,-9999,-9999,10,7,-9999,-9999,-9999
211020,,51,22,2,1944,12,49,40.821,14.426,1281,7,7,6,11,10,9,7,-9999,-9999,-9999,-9999,-9999
211030,,51,3,2,1302,12,49,40.73,13.897,789,11,7,11,9,-9999,-9999,-9999,6,10,7,-9999,-9999
211031,,51,26,1,-8040,12,49,39.48,14.83,-70,6,7,6,11,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999
211040,,51,22,2,2018,12,49,38.789,15.213,924,9,7,1,2,9,-9999,-9999,11,10,-9999,-9999,-9999
211041,,51,22,4,,12,49,38.638,15.064,399,1,7,1,3,-9999,-9999,-9999,2,8,9,-9999,-9999
