West Eifel Volcanic Field,Germany,210010
Chaine des Puys,France,210020
Olot Volcanic Field,Spain,210030
Calatrava Volcanic Field,Spain,210040
Larderello,Italy,211001
Vulsini,Italy,211003
Colli Albani,Italy,211004
Campi Flegrei,Italy,211010
Vesuvius,Italy,211020
Ischia,Italy,211030
Palinuro,Italy,211031
Stromboli,Italy,211040
Panarea,Italy,211041
Lipari,Italy,211042
Vulcano,Italy,211050
Etna,Italy,211060
Campi Flegrei Mar Sicilia,Italy,211070
Pantelleria,Italy,211071
Marsili,Italy,211080
Methana,Greece,212020
Milos,Greece,212030
Santorini,Greece,212040
Nisyros,Greece,212050
Yali,Greece,212051
Kula,Turkey,213000
Karapinar Field,Turkey,213001
Hasan Dagi,Turkey,213002
Gollu Dag,Turkey,213003
Acigol-Nevsehir,Turkey,213004
Erciyes Dagi,Turkey,213010
Karaca Dag,Turkey,213011
Nemrut Dagi,Turkey,213020
Tenduruk Dagi,Turkey,213030
Ararat,Turkey,213040
Elbrus,Russia,214010
Kazbek,Georgia,214020
Samsari Volcanic Center,Georgia,214050
Aragats,Armenia,214060
Ghegam Ridge,Armenia,214070
Dar-Alages,Armenia,214080
Porak,Armenia-Azerbaijan,214090
Tskhouk-Karckar,Armenia-Azerbaijan,214100
"Tair, Jebel at",Yemen,221010
Zubair Group,Yemen,221020
Zukur,Yemen,221021
Hanish,Yemen,221022
Jalua,Eritrea,221030
Alid,Eritrea,221040
Dallol,Ethiopia,221041
Gada Ale,Ethiopia,221050
Alu-Dalafilla,Ethiopia,221060
Bora Ale,Ethiopia,221071
Erta Ale,Ethiopia,221080
Ale Bagu,Ethiopia,221090
Hayli Gubbi,Ethiopia,221091
Dubbi,Eritrea,221100
Nabro,Eritrea,221101
Mallahle,Ethiopia-Eritrea,221102
Sork Ale,Ethiopia-Eritrea,221103
Asavyo,Ethiopia,221104
Mat Ala,Ethiopia,221105
Tat Ali,Ethiopia,221106
Borawli,Ethiopia,221107
Afdera,Ethiopia,221110
Ma Alalta,Ethiopia,221111
Alayta,Ethiopia,221112
Dabbahu,Ethiopia,221113
Dabbayra,Ethiopia,221114
Manda Hararo,Ethiopia,221115
Groppo,Ethiopia,221116
Kurub,Ethiopia,221120
Borawli,Ethiopia,221121
Manda-Inakir,Ethiopia-Djibouti,221122
Mousa Alli,Ethiopia-Eritrea-Djibouti,221123
Gufa,Eritrea-Djibouti,221124
Assab Volcanic Field,Eritrea,221125
Ardoukoba,Djibouti,221126
Manda Gargori,Ethiopia,221127
Dama Ali,Ethiopia,221141
Gabillema,Ethiopia,221150
Yangudi,Ethiopia,221151
Ayelu,Ethiopia,221160
Adwa,Ethiopia,221170
Hertali,Ethiopia,221171
Liado Hayk,Ethiopia,221172
Dofan,Ethiopia,221180
Fentale,Ethiopia,221190
Beru,Ethiopia,221191
Kone,Ethiopia,221200
Unnamed,Ethiopia,221201
Boset-Bericha,Ethiopia,221210
Bishoftu Volcanic Field,Ethiopia,221220
Sodore,Ethiopia,221222
Gedamsa,Ethiopia,221230
Bora-Bericcio,Ethiopia,221240
Tullu Moje,Ethiopia,221250
Unnamed,Ethiopia,221251
East Zway,Ethiopia,221252
Butajiri-Silti Field,Ethiopia,221260
Alutu,Ethiopia,221270
O'a Caldera,Ethiopia,221280
Corbetti Caldera,Ethiopia,221290
Bilate River Field,Ethiopia,221291
Tepi,Ethiopia,221292
Hobicha Caldera,Ethiopia,221293
Chiracha,Ethiopia,221300
Tosa Sucha,Ethiopia,221310
Unnamed,Ethiopia,221311
Korath Range,Ethiopia,221320
Mega Basalt Field,Ethiopia-Kenya,221330
North Island,Kenya,222001
Central Island,Kenya,222010
South Island,Kenya,222020
Marsabit,Kenya,222021
"Barrier, The",Kenya,222030
Namarunu,Kenya,222040
Segererua Plateau,Kenya,222050
Emuruangogolak,Kenya,222051
Silali,Kenya,222052
Paka,Kenya,222053
Korosi,Kenya,222054
Ol Kokwe,Kenya,222055
Nyambeni Hills,Kenya,222056
Menengai,Kenya,222060
Homa Mountain,Kenya,222070
Elmenteita Badlands,Kenya,222071
"Eburru, Ol Doinyo",Kenya,222080
Olkaria,Kenya,222090
Longonot,Kenya,222100
Suswa,Kenya,222110
"Lengai, Ol Doinyo",Tanzania,222120
Chyulu Hills,Kenya,222130
Meru,Tanzania,222160
Igwisi Hills,Tanzania,222161
Ngozi,Tanzania,222164
Rungwe,Tanzania,222166
Kyejo,Tanzania,222170
Fort Portal,Uganda,223001
Kyatwa,Uganda,223002
Katwe-Kikorongo,Uganda,223003
Bunyaruguru,Uganda,223004
Katunga,Uganda,223005
Nyamuragira,DR Congo,223020
Nyiragongo,DR Congo,223030
Karisimbi,DR Congo-Rwanda,223040
Visoke,DR Congo-Rwanda,223050
Muhavura,Uganda-Rwanda,223060
Bufumbira,Uganda,223070
Tshibinda,DR Congo,223080
San Carlos,Equatorial Guinea,224002
San Joaquin,Equatorial Guinea,224003
Santa Isabel,Equatorial Guinea,224004
Cameroon,Cameroon,224010
Tombel Graben,Cameroon,224011
